source	chromosome	start	stop	length	newick	topology
fastas//chr21_1.fa	chr21	1	2383	2383	(HmelRef,(((HeraRef,Hhim),Hhsa),(Hdem,Hsar)),Htel);	T2
fastas//chr21_2.fa	chr21	2384	7384	5001	(HmelRef,(((HeraRef,Hhim),Hhsa),(Hdem,Hsar)),Htel);	T2
fastas//chr21_3.fa	chr21	7385	10680	3296	(HmelRef,(HeraRef,(Hhsa,(Htel,(Hdem,Hsar)))),Hhim);	NT
fastas//chr21_4.fa	chr21	10681	13148	2468	(HmelRef,(((HeraRef,Hhim),Hhsa),(Hdem,Hsar)),Htel);	T2
fastas//chr21_5.fa	chr21	13149	17916	4768	(HmelRef,((HeraRef,Hhim),Hhsa),(Htel,(Hdem,Hsar)));	T1
fastas//chr21_6.fa	chr21	17917	22443	4527	(HmelRef,(((HeraRef,Hhim),Hhsa),Htel),(Hdem,Hsar));	NT
fastas//chr21_7.fa	chr21	22444	24818	2375	(HmelRef,((HeraRef,Hhim),(Htel,(Hdem,Hsar))),Hhsa);	NT
fastas//chr21_8.fa	chr21	24819	28226	3408	(HmelRef,(HeraRef,Hhim),(Hhsa,(Htel,(Hdem,Hsar))));	NT
fastas//chr21_10.fa	chr21	28227	33064	4838	(HmelRef,((HeraRef,Hhim),Hhsa),(Htel,(Hdem,Hsar)));	T1
fastas//chr21_11.fa	chr21	33065	37164	4100	(HmelRef,((HeraRef,Hhim),Hhsa),(Htel,(Hdem,Hsar)));	T1
fastas//chr21_13.fa	chr21	37165	39787	2623	(HmelRef,(((HeraRef,Hhim),Hhsa),(Hdem,Hsar)),Htel);	T2
fastas//chr21_14.fa	chr21	39788	44198	4411	(HmelRef,(((HeraRef,Hhim),Hhsa),(Hdem,Hsar)),Htel);	T2
fastas//chr21_15.fa	chr21	44199	45874	1676	(HmelRef,((((HeraRef,Hhim),Hhsa),Htel),Hsar),Hdem);	NT
fastas//chr21_16.fa	chr21	45875	48779	2905	(HmelRef,(((HeraRef,Hhim),Hhsa),Htel),(Hdem,Hsar));	NT
fastas//chr21_17.fa	chr21	48780	53452	4673	(HmelRef,(((HeraRef,Hhim),Hhsa),Htel),(Hdem,Hsar));	NT
fastas//chr21_18.fa	chr21	53453	57715	4263	(HmelRef,(((HeraRef,Hhim),Hhsa),(Hdem,Hsar)),Htel);	T2
fastas//chr21_19.fa	chr21	57716	61828	4113	(HmelRef,((HeraRef,Hhim),Hhsa),(Htel,(Hdem,Hsar)));	T1
fastas//chr21_20.fa	chr21	61829	66784	4956	(HmelRef,((HeraRef,Hhim),Hhsa),(Htel,(Hdem,Hsar)));	T1
fastas//chr21_21.fa	chr21	66785	71771	4987	(HmelRef,((HeraRef,Hhim),Hhsa),(Htel,(Hdem,Hsar)));	T1
fastas//chr21_22.fa	chr21	71772	76768	4997	(HmelRef,(HeraRef,Hhim),((Hhsa,Htel),(Hdem,Hsar)));	NT
fastas//chr21_23.fa	chr21	76769	81769	5001	(HmelRef,(((HeraRef,Hhim),Hhsa),Htel),(Hdem,Hsar));	NT
fastas//chr21_24.fa	chr21	81770	85218	3449	(HmelRef,(((HeraRef,Hhim),Hhsa),Htel),(Hdem,Hsar));	NT
